multipart,none_multipart,hit
image,jpeg,12245298
image,png,9708042
text,html,4455410
application,x-httpd-php,4189084
application,pdf,3354467
text,plain,2989341
application,javascript,2937699
application,java-vm,2707452
application,xml,2606380
image,gif,2417041
text,x-chdr,1771552
audio,mpeg,1534823
text,x-csrc,1459302
application,msword,1371917
text,x-java,1308872
text,x-python,1066991
application,x-ns-proxy-autoconfig,943659
text,css,844189
application,x-object,827448
text,x-c++src,734260
application,java-archive,658073
application,x-msdos-program,611964
text,x-tex,595750
application,vnd.openxmlformats-officedocument.wordprocessingml.document,541273
image,tiff,537779
application,vnd.ms-excel,514706
application,vnd.oasis.opendocument.text,513974
image,svg+xml,491711
text,csv,402534
text,x-c++hdr,378759
application,json,363514
application,x-ruby,357288
application,octet-stream,353678
application,zip,322157
audio,ogg,258727
image,x-ms-bmp,244839
application,x-trash,234515
application,postscript,219929
audio,x-wav,217257
application,vnd.openxmlformats-officedocument.spreadsheetml.sheet,208553
audio,basic,174314
application,x-shockwave-flash,156443
application,vnd.oasis.opendocument.spreadsheet,149077
chemical,x-pdb,144778
text,x-sh,133498
image,x-icon,128472
application,x-sql,126847
application,rtf,118878
text,x-perl,116704
text,x-dsrc,116501
application,vnd.ms-powerpoint,112078
chemical,x-cache,111359
video,mp4,98280
message,rfc822,95169
application,x-bittorrent,82513
application,x-tar,73270
audio,midi,64838
application,vnd.openxmlformats-officedocument.presentationml.presentation,62777
image,x-xpixmap,61842
application,x-debian-package,57164
audio,x-ms-wma,56572
chemical,x-cdx,56122
text,x-pascal,51397
text,x-vcard,50625
image,x-portable-graymap,50498
application,rar,45889
chemical,x-cif,45760
application,vnd.android.package-archive,43833
video,x-msvideo,43262
application,x-info,43129
application,xhtml+xml,40868
application,x-xcf,40008
image,x-photoshop,37617
text,x-tcl,37380
application,x-lyx,37072
text,x-bibtex,36367
application,rdf+xml,35954
text,x-diff,35089
application,x-dvi,30242
application,x-cab,29013
application,x-qgis,28995
application,x-maker,26323
application,vnd.oasis.opendocument.presentation,24526
video,quicktime,23977
application,x-font,22835
application,x-scilab,22455
text,x-sgml,21703
text,cache-manifest,20518
application,x-xfig,20515
application,x-troff-man,19693
image,x-coreldraw,19488
application,x-troff,19111
audio,flac,18848
text,x-scala,18499
video,3gpp,17738
application,x-7z-compressed,16670
application,vnd.oasis.opendocument.graphics,16609
video,x-flv,16143
image,vnd.djvu,15446
application,pgp-keys,14648
